,Ticker,Name,Exchange
0,AUDUSD=X,AUD/USD,CCY
1,AUDCHF=X,AUD/CHF,CCY
2,AUDNZD=X,AUD/NZD,CCY
3,AUDEUR=X,AUD/EUR,CCY
4,AUDTWD=X,AUD/TWD,CCY
5,AUDMXN=X,AUD/MXN,CCY
6,AUDJPY=X,AUD/JPY,CCY
7,NZDJPY=X,NZD/JPY,CCY
8,EURXAF=X,EUR/XAF,CCY
9,EURPEN=X,EUR/PEN,CCY
10,EURBDT=X,EUR/BDT,CCY
11,CAD=X,USD/CAD,CCY
12,AZNUSD=X,AZN/USD,CCY
13,AZNCHF=X,AZN/CHF,CCY
14,AUDSCR=X,AUD/SCR,CCY
15,AUDMOP=X,AUD/MOP,CCY
16,AUDKRW=X,AUD/KRW,CCY
17,AUDHNL=X,AUD/HNL,CCY
18,AUDGIP=X,AUD/GIP,CCY
19,AUDGBP=X,AUD/GBP,CCY
20,AUDCZK=X,AUD/CZK,CCY
21,AUDCLP=X,AUD/CLP,CCY
22,AUDCAD=X,AUD/CAD,CCY
23,ARSKRW=X,ARS/KRW,CCY
24,ARSGBP=X,ARS/GBP,CCY
25,ALLGBP=X,ALL/GBP,CCY
26,AEDTWD=X,AED/TWD,CCY
27,AEDSEK=X,AED/SEK,CCY
28,AEDQAR=X,AED/QAR,CCY
29,AEDOMR=X,AED/OMR,CCY
30,AEDMXN=X,AED/MXN,CCY
31,AEDMAD=X,AED/MAD,CCY
32,AEDLTL=X,AED/LTL,CCY
33,AEDKWD=X,AED/KWD,CCY
34,AEDHKD=X,AED/HKD,CCY
35,AEDCNY=X,AED/CNY,CCY
36,AEDAUD=X,AED/AUD,CCY
37,AEDKRW=X,AED/KRW,CCY
38,XF000EURCOP7.SG,,
39,AEDUSD=X,AED/USD,CCY
40,ARSCOP=X,ARS/COP,CCY
41,AUDRON=X,AUD/RON,CCY
42,ARSUSD=X,ARS/USD,CCY
43,AEDISK=X,AED/ISK,CCY
44,AEDLVL=X,AED/LVL,CCY
45,EURUYU=X,EUR/UYU,CCY
46,EUR-BDT.F,EUR-BDT.F,
47,AEDPHP=X,AED/PHP,CCY
48,AEDCAD=X,AED/CAD,CCY
49,HU32.EX,,
50,AUTIE.SW,,
51,AUDBMD=X,AUD/BMD,CCY
52,ARSCLP=X,ARS/CLP,CCY
53,AWG=X,USD/AWG,CCY
54,AUDVEF=X,AUD/VEF,CCY
55,ANGEUR=X,ANG/EUR,CCY
56,AEDSGD=X,AED/SGD,CCY
57,AEDKES=X,AED/KES,CCY
58,AEDNZD=X,AED/NZD,CCY
59,ANGZAR=X,ANG/ZAR,CCY
60,EUR-TRY.F,EUR-TRY.F,FRA
61,ARSHKD=X,ARS/HKD,CCY
62,HG12.EX,,
63,AUDMAD=X,AUD/MAD,CCY
64,AUDTND=X,AUD/TND,CCY
65,AUDMGA=X,AUD/MGA,CCY
66,AUD=X,USD/AUD,CCY
67,AUDILS=X,AUD/ILS,CCY
68,ARSMXN=X,ARS/MXN,CCY
69,AUDOMR=X,AUD/OMR,CCY
70,ARSVEF=X,ARS/VEF,CCY
71,AUDRUB=X,AUD/RUB,CCY
72,AUDLVL=X,AUD/LVL,CCY
73,AEDBHD=X,AED/BHD,CCY
