,Ticker,Name,Exchange
0,^MERV,MERVAL BUENOS AIRES,BUE
1,^TA100,TA-125,TLV
2,^ATX,ATX,VIE
3,^DJU,Dow Jones Utility Average,DJI
4,^AORD,ALL ORDINARIES,ASX
5,^AEX,AEX-INDEX,AMS
6,RTS.RS,RTSI INDEX,RUS
7,^XAX,NYSE AMEX COMPOSITE INDEX,NYS
8,399107.SZ,SHENZHEN INDEX A,SHZ
9,^DJA,Dow Jones Composite Average,DJI
10,^OSEAX,Oslo Bors All-share Index_GI,OSL
11,^NWX,NYSE ARCA NETWORKING INDEX,NYS
12,^TWOII,TOTC all stock subindex,TWO
13,^NQASPA8000LMAUDN,NASDAQ ASPA Financials Large Mi,NIM
14,^HUI,NYSE ARCA GOLD BUGS INDEX,NYS
15,^FTAS,UK FTSE All Share,FSI
16,^FTAI,FTSE AIM All-Share Index,FGI
17,^DRG,NYSE ARCA PHARMACEUTICAL INDEX,NYS
18,^AXJO,S&P/ASX 200,ASX
19,^XBD,NYSE ARCA SECURITIES BROKER/DEA,NYS
20,^BTK,NYSE ARCA BIOTECH INDEX,NYS
21,^XMI,NYSE ARCA MAJOR MARKET INDEX,NYS
22,^XABQ,ABA NASDAQ Community Bank Total,NIM
23,^REIT,Dow Jones Equity All REIT Total,DJI
24,^QAGR,NASDAQ OMX Global Agriculture,NIM
25,^NQNA9000LMJPYN,NASDAQ N America Tech Large Mid,NIM
26,^DAATR,NASDAQ US BROAD DIV ACHIEVR TR,NIM
27,^AXSVTN,,
28,^ABAQ,ABA Community Bank NASDAQ,NIM
29,MICEXINDEXCF.ME,MICEX IND,MCX
30,^VXAPL,CBOE EQUITY VIXON APPLE,WCB
31,^SBF250,CAC ALL-TRADABLE,PAR
32,^QIV,NASDAQ 100 After Hours Indicato,NIM
33,^P1DOW,^P1DOW,DJI
34,^OSTI,TOTC steel and iron subindex,TWO
35,^OMXNORDICEURPI,OMX_Nordic_EUR_PI,STO
36,^NQZALMZARN,NASDAQ South Africa Large Mid C,NIM
37,^NQZALMCAD,NASDAQ South Africa Large Mid C,NIM
38,^NQUSL8700AUDT,NQ US Lg Cap Financial Svcs AUD,NIM
39,^NQUSBLMAUDT,NASDAQ US Large Mid Cap AUD TR,NIM
40,^NQUSBLMAUDN,NASDAQ US Large Mid Cap AUD NT,NIM
41,^NQUSB8777LMAUDN,NQ US Inv Svcs Large Mid Cap A,NIM
42,^NQUSB8777LMAUD,NQ US Inv Svcs Large Mid Cap A,NIM
43,^NQUSB5371LMJPYN,NQ US Apparel Rtlrs Large Mid,NIM
44,^NQUSB5371LMJPY,NQ US Apparel Rtlrs Large Mid,NIM
45,^NQUSB3763LMGBPT,NQ US Clothing & Accessories L,NIM
46,^NQUSB2795LMEURN,NQ US Financial Admin Large Mi,NIM
47,^NQUSB2000LMAUD,NQ US Inds Large Mid Cap AUD I,NIM
48,^NQNALMN,NASDAQ N America Large Mid Cap,NIM
49,^NQNALMGBP,NASDAQ N America Large Mid Cap,NIM
50,^NQNALMEUR,NASDAQ N America Large Mid Cap,NIM
51,^NQNALMCAD,NASDAQ N America Large Mid Cap,NIM
52,^NQNALM,NASDAQ N America Large Mid Cap,NIM
53,^NQNA8300LM,NASDAQ N America Banks Large Mi,NIM
54,^NQNA8000LMGBPN,NASDAQ N America Financials Lg,NIM
55,^NQNA8000LMEURT,NASDAQ N America Financials Lg,NIM
56,^NQNA5300LMAUD,NASDAQ N America Retail Lg Md C,NIM
57,^NQNA5000LMJPYN,NASDAQ N America Cnsmr Svcs Lg,NIM
58,^NQNA5000LMJPY,NASDAQ N America Cnsmr Svcs Lg,NIM
59,^NQNA4000LMAUD,NASDAQ N America Health Care Lg,NIM
60,^NQNA3700LMEURN,NASDAQ N America Psnl&Hhld Good,NIM
61,^NQNA3000LMN,NASDAQ N America Cnsmr Goods Lg,NIM
62,^NQNA2700LMN,NASDAQ N America Ind Goods & Sv,NIM
63,^NQNA1000LMN,NASDAQ N America Basic Matls Lg,NIM
64,^NQNA0001LMCADN,NASDAQ N America Oil & Gas Lg M,NIM
65,^NQLALMAUD,NASDAQ Lat America Large Mid Ca,NIM
66,^NQDXUSMLTCGN,Nasdaq AlphaDEX Multi Cap Growt,NIM
67,^NQDXEU,NASDAQ AlphaDEX Europe Index,NIM
68,^NQDXEMSC,NASDAQ AlphaDEX EM Small Cap In,NIM
69,^NQDMXUSSCAUDT,NASDAQ Developed ex US SC TR AU,NIM
70,^NQDMXGBLMAUD,NASDAQ DM Ex UK Large Mid Cap A,NIM
71,^NQDMASPAXJPSCAUD,Nasdaq DM ASPA Ex Japan Small C,NIM
72,^NQDMASPALMGBPN,NASDAQ DM ASPA Large Mid Cap GB,NIM
73,^NQCALMAUD,NASDAQ Canada Large Mid Cap AUD,NIM
74,^NQAULMN,NASDAQ Australia Large Mid Cap,NIM
75,^NQATLMCADN,NASDAQ Austria Large Mid Cap CA,NIM
76,^NQASPALMGBPN,NASDAQ ASPA Large Mid Cap GBP N,NIM
77,^NQASPA8000LMEURN,NASDAQ ASPA Financials Large Mi,NIM
78,^NQASPA8000LM,NASDAQ ASPA Financials Large Mi,NIM
79,^NQASPA3500LMGBP,NASDAQ ASPA Food & Beverage Lg,NIM
80,^NQASPA0001LMEUR,NASDAQ ASPA Oil & Gas Large Mid,NIM
81,^GRNASIA,NASDAQ OMX Green Economy Asia U,NIM
82,^FIRSTNORTHDKK,First North All-Share DKK,STO
83,^DWAPUT,Dow Jones Asia/Pacific Utilitie,DJI
84,^DRBSN,NASDAQ US Buyback Achievers Sel,NIM
85,^DRBS,NASDAQ US Buyback Achievers Sel,NIM
86,^DRBGT,NASDAQ Global Buyback Achievers,NIM
87,^DRBG,NASDAQ Global Buyback Achievers,NIM
88,^CSE,^CSE,CSE
89,^CSCSY,NASDAQ OMX Alpha CSCO vs. SPY,NIM
90,^AXPJ,S&P/ASX 200 A-REIT,ASX
91,^AXHJ,S&P/ASX 200 Health Care,ASX
92,^AXGD,S&P/ASX All Ords Gold,ASX
93,^AXGAL,NYSE ARCA GLOBAL AIR LINE INDEX,NYS
94,^AXFJ,S&P/ASX 200 Financials,ASX
95,^AMZ,ALERIAN MLP INDEX,NYS
96,TMPS,"Tempus Applied Solutions Holdings, Inc.",PNK
97,SXAPD.Z,,
98,SDR15Y.SW,SBI Dom AAA-BBB 15+ Y,EBS
99,SA1AMVR.Z,,
100,PAX.PA,CAC ALL SHARES,PAR
101,INAX.DE,INAV IS.STX EUR 600 (DE),GER
102,IM25.BA,MERVAL 25 ARGENTINA,BUE
103,HTXHUF.VI,,
104,G7X4.DE,DAX+RISKTRIGRUS+ PF,GER
105,D8AG.DE,,
106,D1BM.DE,DAXPLUS FAMILY KURSINDEX,GER
107,ASX1770.L,,
108,ALL.PS,PHP INDEX ALL-SHARE,PHS
109,AAX.NX,,
110,5FUA.DE,INAVISHSTCBDEXFIUCH,GER
111,3BMO.DE,INAVISHS&P500EU,GER
112,SAA6UNR.Z,,
113,^NQLA1300JPYN,NASDAQ Lat America Chemicals JP,NIM
114,SXSHIPTA.SG,,
115,WIAMERS1730.FGI,,
116,DH6W.DE,INAV DB X-T. TR CHF,GER
117,D8TW.DE,IN.IS.PHYS.SILVER ETC JPY,GER
118,^NQUSB5752LMAUDT,NQ US Gambling Large Mid Cap A,NIM
119,^NQASIA6000LMJPYT,NASDAQ Asia Telecom Large Mid C,NIM
120,^NQDMASIA1700JPYN,NASDAQ DM Asia Basic Resources,NIM
121,V2J3.DE,,
122,4N6Z.DE,DAXSUB ALL RETI K,GER
123,^NQUSB0587CADN,NQ US Bnchmk Alternative Fuels,NIM
124,^NQUSM9000AUDT,NQ US Md Cap Tech AUD TR Index,NIM
125,^NQUSB5373AUDN,NQ US Bnchmk Broadline Rtlrs AU,NIM
126,S63Y.SW,SBI Sec CB Mixed Assets Y,EBS
127,^NQUSS8771GBP,NQ US Sm Cap Asset Managers GBP,NIM
