,Ticker,Name,Exchange
0,APU5.AX,,
1,ACV1529-C.BO,,
2,IRH7.AX,,
3,WMF6.AX,,
4,APSM6.AX,,
5,R2:EALT4T.SA,,
6,XFL15Z.AX,,
7,ASXSZC-A,,
8,WMSF9.AX,,
9,MDJ16-2.SI,,
10,R2:SULA11T.SA,,
11,XJO16K.AX,,
12,USH5.AX,,
13,65087444.EX,,
14,SQUHJ6.EX,,
15,EDQ15-3.SI,,
16,LTG1625-C.BO,,
17,TEL6P.OL,,
18,ASMHJ6.EX,,
19,PPCFQ15-C.SI,,
20,ARL.SI,,
21,US16N.AX,,
22,THJ16-2.SI,,
23,APSK5.AX,,
24,R2:CBMA3T.SA,,
25,TWJ15-2.SI,,
26,BLX1526-C.BO,,
27,R6CFJ6.EX,,
28,UBN6.AX,,
29,APH15-3.SI,,
30,ADEFH7.EX,ADEFH7.EX,EUX
31,R2:TEKA4T.SA,,
32,PECFQ15-2.SI,,
33,APU1524-C.BO,,
34,ISQ1527-C.BO,,
35,USA7.AX,,
36,HKQ15-2.SI,,
37,APSZ6.AX,,
38,AZN7X.ST,,
39,NVV1529-C.BO,,
40,APL5.AX,,
41,ALM1630-C.BO,,
42,APH.SI,,
43,VO3GJ6.EX,,
44,APN15-C.SI,,
45,ACK1528-C.BO,,
46,APF16-3.SI,,
47,T58FQ16-3.SI,,
48,APU15-3.SI,,
49,LTN1530-C.BO,,
50,AM16U.AX,,
51,NKJ16-C.SI,,
52,PSP6.AX,,
53,PSC5.AX,,
54,PPSFQ16-2.SI,,
55,AZJSRX-A,,
56,PHJ16-3.SI,,
57,SH1617-C.BO,,
58,CLU1524-C.BO,,
59,UB19F.AX,Eastern Australia Feed Barley F,ASX
60,T58FJ18-2.SI,,
61,ACX1526-C.BO,,
62,R2:TIET3T.SA,,
63,AIE.SI,,
64,AKSO6N.OL,,
65,TKJ1530-C.BO,,
66,VCSU5.AX,,
67,BMPS6D.MDD,,
68,ASLKRC-A,,
69,BLZ1531-C.BO,,
70,AVFH6.EX,,
71,MRWFJ6.EX,,
72,STJ15-3.SI,,
73,AMZ5.AX,,
74,APJ15-3.SI,,
75,THJ16-3.SI,,
76,SNFFJ6.EX,,
77,BAYFJ6.EX,,
78,AOMGH6.EX,,
79,ARIQRB-A,,
80,R2:EALT3T.SA,,
81,IRM6.AX,,
82,BKH1631-C.BO,,
83,ALVGH6.EX,,
84,MB6D.MDD,,
85,AMF6.AX,,
86,IRU9.AX,,
87,VIJ1530-C.BO,,
88,ATCGF6.EX,,
89,R2:HETA4T.SA,,
90,VCA7.AX,,
91,APK1626-C.BO,,
92,SCMHJ6.EX,,
93,A2KUZ7.EX,A2KUZ7.EX,EUX
94,LPFJ16-2.SI,,
95,THJ15-C.SI,,
96,M58FQ17-2.SI,,
97,AP16Z.AX,SPI 200 Index Futures,ASX
98,AR16Z.AX,S&P/ASX 200 Resources Index Fut,ASX
99,A2ENZ7.EX,AEGON,EUX
100,ACQ1527-C.BO,,
101,BCU1524-C.BO,,
102,R2:ABEV3T.SA,,
103,ANJ1628-C.BO,,
104,A2DSZ6.EX,,
105,XJO16F.AX,,
106,R2:ABCB4T.SA,,
107,AXAGZ8.EX,AXAGZ8.EX,EUX
108,EDQ15-C.SI,,
109,USSK5.AX,,
110,M58FQ15-2.SI,,
111,UBH5.AX,,
112,LTU1524-C.BO,,
113,VVUHJ6.EX,,
